Season,Split,Champion,Picks,Bans,Presence,Wins,Losses,Win Rate,KDA,Avg BT,Avg GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S13,Summer,Sejuani,77,1331,1158,63%,648,683,49%,3.8,4.8,31:11,5.2,292,327,-0.5,-13,-34
S13,Summer,Rakan,136,1388,1058,62%,754,634,54%,3.9,6.5,31:13,1.3,149,246,4,47,-7
S13,Summer,Rell,153,1375,1005,61%,732,643,53%,3.3,5.2,31:19,1.9,155,257,-0.4,-35,-37
S13,Summer,Kaisa,140,1473,899,60%,756,717,51%,4.4,5.0,31:11,9.6,704,459,-0.1,-103,30
S13,Summer,Tristana,93,788,1504,58%,431,357,55%,3.5,4.0,30:26,9.5,610,459,-0.7,282,15
S13,Summer,Renekton,72,1377,899,58%,669,708,49%,2.4,5.9,31:12,8.4,467,397,8.3,367,151
S13,Summer,Nautilus,62,1430,773,56%,690,740,48%,2.5,8.1,30:54,1.3,162,241,1.2,-37,-76
S13,Summer,Vi,103,667,1516,56%,330,337,49%,2.7,4.2,30:30,5.5,269,342,-0.8,-82,23
S13,Summer,KSante,162,1423,755,55%,666,757,47%,2.9,5.5,31:08,7.7,387,368,-3,-154,-47
S13,Summer,Poppy,69,775,1289,53%,408,367,53%,3.4,4.8,31:37,5.6,335,331,-6.4,-170,-128
S13,Summer,Jayce,36,930,1039,50%,484,446,52%,3.4,4.5,31:05,8.7,709,430,1.7,42,-85
S13,Summer,Aphelios,147,1468,456,49%,719,749,49%,3.4,6.4,30:54,9.5,636,447,-0.9,39,-96
S13,Summer,Milio,163,504,1355,47%,283,221,56%,6.1,4.6,30:47,0.9,70,241,2.7,14,0
S13,Summer,Azir,120,1077,758,47%,527,550,49%,3.4,5.1,31:36,9.0,658,419,0,-92,51
S13,Summer,Jax,35,837,942,45%,443,394,53%,2.5,6.4,31:05,8.2,485,403,-3.9,-64,-129
S13,Summer,Ahri,2,1001,564,40%,490,511,49%,4.7,7.0,31:10,8.4,568,397,-1.7,-40,56
S13,Summer,Zeri,158,682,764,37%,330,352,48%,4.4,4.6,31:31,10.2,668,469,1.8,95,-3
S13,Summer,Rumble,75,430,879,33%,237,193,55%,3.6,4.3,31:33,7.5,701,391,9,319,225
S13,Summer,Annie,7,636,659,33%,313,323,49%,3.3,5.3,31:07,7.4,555,373,-4.3,-162,-199
S13,Summer,Alistar,4,753,539,33%,369,384,49%,2.8,7.9,31:15,1.0,140,236,-1.2,-52,1
S13,Summer,Wukong,108,658,507,30%,307,351,47%,3.0,7.2,30:54,5.5,328,350,-4.5,-108,-126
S13,Summer,Viego,154,678,462,29%,324,354,48%,3.6,6.8,31:02,6.0,329,368,7.3,236,234
S13,Summer,Ivern,133,325,787,28%,172,153,53%,5.5,3.9,31:00,4.9,211,324,-3.5,-77,26
S13,Summer,Gragas,28,608,341,24%,293,315,48%,2.8,6.0,31:01,6.9,472,351,-3,-129,11
S13,Summer,Varus,100,447,498,24%,206,241,46%,3.3,7.1,30:53,9.0,615,426,2.9,24,-39
S13,Summer,Lucian,50,319,605,24%,171,148,54%,3.5,4.2,30:58,9.0,680,445,5.9,257,114
S13,Summer,Yuumi,144,306,564,22%,138,168,45%,6.3,4.1,30:34,0.2,256,231,-11.4,-149,440
S13,Summer,Braum,118,483,381,22%,230,253,48%,3.3,8.2,31:00,1.1,153,236,2.1,-52,41
S13,Summer,Syndra,88,413,430,21%,180,233,44%,2.7,7.0,31:54,8.4,624,402,3,-47,-90
S13,Summer,Nocturne,64,335,465,20%,154,181,46%,3.3,6.5,31:25,6.0,335,358,7.6,207,205
S13,Summer,Ornn,138,540,250,20%,278,262,51%,3.5,7.6,30:44,6.9,420,340,-12.3,-635,-203
S13,Summer,Gwen,155,269,497,20%,122,147,45%,2.3,7.9,31:10,8.6,585,410,4.2,39,-37
S13,Summer,Gnar,119,459,292,19%,243,216,53%,2.6,8.1,31:23,8.7,558,412,2.5,69,61
S13,Summer,Sion,82,410,252,17%,196,214,48%,2.8,7.1,31:05,7.1,420,345,-9.3,-423,-155
S13,Summer,Olaf,66,169,453,16%,81,88,48%,2.5,6.2,31:28,8.2,579,416,5,314,54
S13,Summer,Lulu,51,386,214,15%,177,209,46%,4.4,7.8,31:14,0.6,123,235,-6.5,-30,-71
S13,Summer,Ashe,8,314,283,15%,164,150,52%,3.9,7.0,31:43,7.8,562,403,-2.9,-54,-41
S13,Summer,Jinx,37,467,125,15%,237,230,51%,4.0,7.7,30:13,9.6,623,453,-1.6,-52,-163
S13,Summer,Malphite,53,237,311,14%,111,126,47%,3.2,8.6,30:04,7.3,457,356,-11.3,-435,-102
S13,Summer,Draven,18,155,388,14%,75,80,48%,3.4,4.9,30:11,8.7,540,478,0.7,319,-8
S13,Summer,Blitzcrank,9,221,307,13%,113,108,51%,2.9,7.2,30:19,1.1,185,243,-0.2,-40,-96
S13,Summer,Aatrox,1,319,207,13%,145,174,45%,2.5,5.7,30:51,8.1,527,392,-1.7,-114,33
S13,Summer,Lee Sin,47,289,228,13%,146,143,51%,3.4,6.4,31:03,5.8,322,355,1.9,215,114
S13,Summer,Kindred,127,158,356,13%,85,73,54%,3.9,4.8,31:03,6.8,533,401,8.3,398,367
S13,Summer,Leona,48,366,66,11%,170,196,46%,2.3,8.7,31:34,1.2,122,236,0.6,-34,-66
S13,Summer,Kennen,43,200,231,11%,102,98,51%,2.3,7.1,31:14,8.2,628,404,14.3,675,296
S13,Summer,Ezreal,21,299,126,11%,126,173,42%,3.8,8.0,31:01,9.1,742,423,-1.6,-304,-29
S13,Summer,KhaZix,44,246,147,10%,119,127,48%,2.8,7.5,30:55,6.6,418,386,7.9,239,270
S13,Summer,Yone,150,184,201,10%,102,82,55%,3.0,7.4,31:18,9.1,547,431,2.3,160,80
S13,Summer,Jarvan IV,34,163,203,9%,72,91,44%,3.2,6.8,30:31,5.3,298,344,1.1,-1,-15
S13,Summer,Sylas,143,157,206,9%,84,73,54%,3.3,7.6,30:19,7.9,538,415,-6.6,-24,-76
S13,Summer,Ziggs,115,147,210,9%,69,78,47%,4.1,5.4,31:55,8.8,868,432,0,149,63
S13,Summer,Fiora,23,130,222,9%,70,60,54%,2.5,6.6,30:04,8.9,562,436,7.5,342,62
S13,Summer,Taliyah,131,186,160,9%,90,96,48%,4.0,5.5,31:33,8.4,637,406,-3.2,-234,-84
S13,Summer,Orianna,67,164,108,7%,80,84,49%,4.0,6.0,31:41,8.6,571,402,4.3,102,53
S13,Summer,Cassiopeia,12,117,133,6%,63,54,54%,3.0,7.1,31:23,8.4,511,401,-0.9,-218,-254
S13,Summer,Trundle,94,172,73,6%,80,92,47%,3.3,7.6,31:36,4.9,281,336,-4.5,-6,-125
S13,Summer,Kalista,121,91,154,6%,49,42,54%,3.6,5.1,30:11,9.2,524,453,7.4,306,103
S13,Summer,Akali,3,139,88,6%,62,77,45%,3.1,7.9,30:38,8.1,512,390,-3,-84,18
S13,Summer,Sivir,83,139,73,5%,68,71,49%,4.5,8.0,31:30,10.0,729,457,-2,-72,-72
S13,Summer,Viktor,104,151,59,5%,66,85,44%,3.1,8.0,30:21,8.5,754,404,2.9,-46,77
S13,Summer,Nami,60,192,4,5%,96,96,50%,4.6,7.3,31:20,0.4,178,239,-8.4,-57,-1
S13,Summer,Renata Glasc,159,119,74,5%,64,55,54%,4.7,7.5,31:49,1.1,162,249,-2.2,90,171
S13,Summer,Lissandra,49,111,79,5%,58,53,52%,3.2,8.1,30:51,7.6,462,368,-2.9,-53,-67
S13,Summer,Yasuo,111,63,95,4%,32,31,51%,3.0,6.4,29:32,8.5,409,421,1.3,170,63
S13,Summer,Seraphine,152,59,99,4%,25,34,42%,3.9,3.7,30:31,8.2,455,382,-8.1,-879,-225
S13,Summer,Karma,38,75,75,4%,35,40,47%,3.6,5.6,30:20,3.5,435,297,-9.1,-122,-30
S13,Summer,Heimerdinger,31,65,82,4%,27,38,42%,2.3,7.4,31:12,1.6,438,266,-9.2,269,-130
S13,Summer,Thresh,92,103,41,4%,47,56,46%,2.9,8.4,31:36,1.1,152,240,1.3,-17,-9
S13,Summer,Amumu,5,85,50,3%,49,36,58%,3.0,5.6,31:18,4.5,313,321,3.9,81,29
S13,Summer,Darius,15,56,79,3%,26,30,46%,2.2,7.1,30:21,7.7,438,398,7.2,166,-124
S13,Summer,KogMaw,45,91,42,3%,49,42,54%,4.3,7.1,31:57,9.1,738,432,1.8,-131,-46
S13,Summer,Samira,151,61,71,3%,27,34,44%,3.0,7.6,29:54,8.7,481,442,-2.7,77,-72
S13,Summer,RekSai,122,61,68,3%,33,28,54%,3.0,5.1,31:58,5.7,375,365,-1,164,49
S13,Summer,Pyke,141,60,69,3%,35,25,58%,3.1,5.9,31:14,1.5,228,289,2.8,223,-134
S13,Summer,Karthus,39,41,77,3%,15,26,37%,2.5,4.3,31:16,7.7,898,423,15.4,322,674
S13,Summer,Lillia,149,60,54,3%,27,33,45%,4.0,7.9,31:06,6.8,570,378,12.1,209,380
S13,Summer,Gangplank,26,55,53,3%,34,21,62%,3.5,5.9,29:24,8.5,777,473,-5,290,-106
S13,Summer,Irelia,32,48,59,3%,21,27,44%,1.9,7.1,31:11,8.6,455,411,4.3,-125,-143
S13,Summer,Graves,29,69,35,3%,28,41,41%,3.1,5.2,30:44,7.5,495,401,13.1,506,429
S13,Summer,Nilah,161,44,55,3%,23,21,52%,3.9,6.3,30:42,8.8,486,452,-3.5,-47,684
S13,Summer,Nidalee,63,35,56,2%,20,15,57%,3.9,3.9,29:55,6.2,562,386,4.5,414,184
S13,Summer,Camille,134,57,27,2%,32,25,56%,2.8,8.1,30:23,7.8,472,400,-5.2,12,-51
S13,Summer,Swain,87,45,37,2%,19,26,42%,3.2,6.3,31:12,6.9,609,362,-3.2,-92,-175
S13,Summer,Xin Zhao,110,61,18,2%,20,41,33%,1.9,7.9,30:06,5.7,364,340,-2,-177,-110
S13,Summer,Xerath,109,48,28,2%,17,31,35%,3.4,8.3,31:15,8.1,792,384,-3.6,-82,11
S13,Summer,Senna,146,36,40,2%,18,18,50%,4.3,4.3,29:07,1.7,497,320,-3.3,836,540
S13,Summer,Tahm Kench,126,48,25,2%,19,29,40%,2.6,8.3,30:38,2.2,177,251,-5,-221,-94
S13,Summer,Belveth,160,44,29,2%,20,24,45%,3.1,5.7,29:34,5.9,287,365,13.5,549,397
S13,Summer,Miss Fortune,57,44,28,2%,19,25,43%,3.2,6.4,30:54,8.2,579,419,0.7,-166,84
S13,Summer,Galio,25,32,35,2%,16,16,50%,3.4,4.6,31:05,5.6,350,331,-11.1,-313,-182
S13,Summer,Volibear,106,40,27,2%,17,23,43%,2.5,7.5,29:39,5.6,320,336,-2.8,-103,-165
S13,Summer,Elise,19,21,40,2%,10,11,48%,3.2,5.3,30:37,5.1,431,350,-10.2,24,-115
S13,Summer,Kled,132,33,28,2%,18,15,55%,2.9,6.1,30:04,7.9,538,412,0.6,418,86
S13,Summer,Ryze,76,46,11,1%,29,17,63%,3.7,6.4,30:26,9.2,620,432,-0.5,-150,-175
S13,Summer,Zac,113,34,22,1%,13,21,38%,2.5,5.5,30:23,5.0,276,313,-4.9,-251,-86
S13,Summer,Sett,148,42,10,1%,17,25,40%,1.9,8.4,30:50,4.4,352,312,-0.5,-40,-74
S13,Summer,Chogath,13,42,6,1%,25,17,60%,4.2,8.5,30:06,7.9,532,390,3,184,187
S13,Summer,Rengar,73,20,28,1%,11,9,55%,4.0,3.8,30:52,6.2,417,394,3.8,1054,226
S13,Summer,Jhin,129,40,8,1%,19,21,48%,4.9,8.3,32:34,8.5,510,407,-4.7,-263,58
S13,Summer,Garen,27,23,24,1%,10,13,43%,1.8,6.8,29:37,8.5,433,411,-4.7,-289,105
S13,Summer,Pantheon,68,21,26,1%,9,12,43%,2.2,6.8,30:45,6.8,571,372,-6.9,-403,-486
S13,Summer,Caitlyn,11,15,31,1%,4,11,27%,2.4,3.9,32:56,8.4,632,412,-2.5,-178,-32
S13,Summer,Janna,33,32,12,1%,11,21,34%,3.4,8.0,30:19,0.7,129,229,-9.5,-144,-45
S13,Summer,Vayne,101,27,16,1%,15,12,56%,3.9,7.6,33:21,9.2,616,463,0.8,134,48
S13,Summer,Soraka,86,40,2,1%,16,24,40%,3.5,10.0,31:33,0.4,163,233,-10.7,-127,41
S13,Summer,Quinn,70,23,18,1%,14,9,61%,3.1,7.9,33:45,9.3,736,457,12.9,907,56
S13,Summer,Twitch,97,24,17,1%,7,17,29%,2.4,6.9,31:49,8.3,649,400,-12,-476,-224
S13,Summer,Veigar,102,19,22,1%,9,10,47%,3.4,4.8,30:52,8.3,481,394,-6.9,-484,-158
S13,Summer,Twisted Fate,96,25,13,1%,12,13,48%,3.4,7.0,31:39,8.1,515,418,-13.5,105,-428
S13,Summer,Aurelion Sol,130,21,17,1%,9,12,43%,3.7,7.4,30:10,8.5,645,402,-8.2,-482,-234
S13,Summer,Udyr,98,12,25,1%,7,5,58%,3.9,4.8,29:28,7.3,613,377,6.4,34,232
S13,Summer,Skarner,84,21,15,1%,10,11,48%,3.6,6.2,31:14,5.0,180,320,5.2,65,218
S13,Summer,Bard,124,19,15,1%,12,7,63%,4.4,4.7,30:13,0.9,248,266,-8.7,52,116
S13,Summer,Mordekaiser,58,14,19,1%,7,7,50%,2.9,4.3,29:17,7.8,644,376,-6.9,-376,-131
S13,Summer,Taric,90,21,11,1%,12,9,57%,4.0,7.5,30:16,1.3,122,256,2.4,133,327
S13,Summer,Akshan,156,15,15,1%,10,5,67%,3.9,6.0,32:02,8.2,613,420,5.2,181,128
S13,Summer,Corki,14,24,5,1%,11,13,46%,3.6,8.0,30:54,9.3,719,449,0.8,190,-99
S13,Summer,Riven,74,10,15,1%,4,6,40%,2.0,8.1,33:06,8.3,505,402,1.5,148,79
S13,Summer,Qiyana,145,21,1,1%,10,11,48%,3.2,7.0,30:43,7.8,527,426,-8.3,-76,-68
S13,Summer,Zed,114,10,9,0%,5,5,50%,2.9,4.9,31:15,8.7,675,441,-7.2,-171,-124
S13,Summer,Illaoi,128,11,8,0%,4,7,36%,1.3,7.6,35:39,7.8,655,378,-5.1,-560,-524
S13,Summer,Zoe,139,10,9,0%,4,6,40%,3.0,7.3,27:44,7.2,625,383,-0.5,96,-156
S13,Summer,Vex,157,10,8,0%,5,5,50%,2.8,8.1,29:23,7.6,588,375,-7,-604,-209
S13,Summer,Fiddlesticks,22,9,7,0%,3,6,33%,2.5,6.9,28:18,5.3,498,364,4.8,338,2
S13,Summer,Kayle,42,12,4,0%,6,6,50%,3.1,9.3,28:01,9.4,594,437,8.8,365,85
S13,Summer,Nunu,65,7,9,0%,4,3,57%,3.1,5.0,33:57,5.2,284,333,-0.4,-129,55
S13,Summer,Tryndamere,95,9,7,0%,5,4,56%,2.4,7.9,28:46,8.8,358,417,0.9,300,194
S13,Summer,Zilean,116,9,5,0%,6,3,67%,5.4,7.0,33:04,1.5,129,251,-4.3,46,649
S13,Summer,Lux,52,10,3,0%,4,6,40%,3.8,8.0,31:08,3.1,529,308,-1.3,-4,-227
S13,Summer,Sona,85,12,1,0%,9,3,75%,5.2,6.0,31:08,0.4,232,267,-1.4,257,-447
S13,Summer,Urgot,99,8,5,0%,4,4,50%,2.5,7.6,31:23,8.3,507,408,11.9,-23,213
S13,Summer,Shaco,78,6,6,0%,3,3,50%,1.9,3.2,34:27,5.6,344,347,1.8,101,97
S13,Summer,Diana,16,7,4,0%,0,7,0%,1.3,8.3,28:42,6.7,393,364,-4.4,525,-188
S13,Summer,Nasus,61,11,0,0%,3,8,27%,1.1,-,28:53,6.8,414,347,-15.3,-825,-426
S13,Summer,Kayn,137,8,2,0%,3,5,38%,3.5,9.5,29:46,6.2,467,374,14.4,531,544
S13,Summer,Shyvana,80,5,2,0%,2,3,40%,2.6,4.5,32:03,8.5,522,422,7,291,291
S13,Summer,Vladimir,105,4,3,0%,3,1,75%,5.1,8.3,27:42,8.2,681,424,1,578,183
S13,Summer,Ekko,125,6,1,0%,2,4,33%,3.2,8.0,28:44,7.5,678,430,-2.7,52,-96
S13,Summer,Dr. Mundo,17,6,0,0%,3,3,50%,1.5,-,29:54,7.8,544,378,-13.7,-1428,-677
S13,Summer,Talon,89,2,3,0%,2,0,100%,6.0,8.0,34:02,9.2,653,510,30.5,774,1008
S13,Summer,Katarina,41,4,0,0%,0,4,0%,1.2,-,25:35,6.7,396,330,-29.8,-1576,-1124
S13,Summer,Zyra,117,3,1,0%,0,3,0%,1.8,9.0,41:18,0.7,318,240,-17.3,51,-114
S13,Summer,VelKoz,123,3,1,0%,1,2,33%,1.4,6.0,32:59,8.4,621,372,-4.7,-697,-199
S13,Summer,Anivia,6,2,1,0%,1,1,50%,3.8,8.0,29:51,9.2,590,441,5.5,277,396
S13,Summer,Fizz,24,2,1,0%,1,1,50%,3.7,9.0,27:42,8.6,325,379,25.5,58,676
S13,Summer,Hecarim,30,3,0,0%,1,2,33%,2.3,-,28:51,5.9,362,359,-2.7,-169,-76
S13,Summer,Morgana,59,3,0,0%,0,3,0%,1.6,-,26:06,2.6,295,259,-17.7,-983,-528
S13,Summer,Naafiri,164,1,2,0%,0,1,0%,0.0,6.0,19:42,7.8,312,313,-13,-1359,-700
S13,Summer,Evelynn,20,2,0,0%,0,2,0%,1.1,-,26:35,5.2,376,323,-4,-170,-823
S13,Summer,Kassadin,40,2,0,0%,0,2,0%,1.8,-,30:21,8.3,463,384,-22,-1048,50
S13,Summer,Master Yi,56,1,1,0%,0,1,0%,0.5,6.0,18:01,6.8,255,365,17,367,568
S13,Summer,Warwick,107,2,0,0%,0,2,0%,0.5,-,25:46,6.9,385,309,17,-130,60
S13,Summer,Brand,10,1,0,0%,1,0,100%,3.2,-,38:05,1.0,908,304,-10,197,-321
S13,Summer,Malzahar,54,1,0,0%,1,0,100%,5.0,-,36:53,7.9,506,393,-14,-794,83
S13,Summer,Singed,81,1,0,0%,0,1,0%,0.3,-,31:30,1.1,43,208,0,-14,-566
S13,Summer,Yorick,112,1,0,0%,0,1,0%,1.0,-,31:06,9.2,797,427,16,272,135
S13,Summer,Rammus,71,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Shen,79,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Teemo,91,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Briar,165,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Hwei,166,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Smolder,167,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Spring,Varus,100,1464,1701,84%,748,716,51%,3.9,4.4,32:19,8.7,672,426,11.5,233,205
S14,Spring,Kalista,121,712,2130,75%,367,345,52%,3.5,3.7,31:28,8.9,498,435,14.4,476,290
S14,Spring,Nautilus,62,1595,1034,69%,795,800,50%,2.5,6.0,32:27,1.8,180,258,6.2,-20,33
S14,Spring,Ashe,8,466,2095,68%,258,208,55%,3.7,3.9,31:58,4.0,478,330,-2.9,93,57
S14,Spring,Vi,103,958,1462,64%,493,465,51%,2.9,5.6,32:16,5.7,282,339,1.4,21,89
S14,Spring,Orianna,67,973,1413,63%,470,503,48%,4.2,4.9,32:17,8.6,603,403,4.8,61,35
S14,Spring,KSante,162,1571,806,63%,831,740,53%,3.3,6.5,32:27,7.8,439,373,-6.9,-264,-11
S14,Spring,Senna,146,884,1465,62%,475,409,54%,5.1,3.8,31:58,3.7,578,350,-55.9,-548,-823
S14,Spring,Rell,153,1389,700,55%,699,690,50%,3.2,6.1,32:23,2.8,168,277,-6,-198,-230
S14,Spring,Maokai,55,1089,918,53%,601,488,55%,3.3,4.7,32:10,4.0,314,296,-4.9,-164,-215
S14,Spring,Azir,120,1217,763,52%,626,591,51%,3.3,5.2,32:15,9.3,674,433,0.9,-51,63
S14,Spring,Karma,38,633,1338,52%,310,323,49%,3.7,4.0,32:17,6.7,616,354,-1.4,-63,19
S14,Spring,Rumble,75,596,1361,52%,320,276,54%,3.1,4.3,32:33,7.1,690,383,10.2,390,201
S14,Spring,Xin Zhao,110,1044,720,47%,490,554,47%,2.8,7.4,32:01,5.9,385,345,0.2,7,-11
S14,Spring,Taliyah,131,846,647,39%,463,383,55%,4.1,5.7,32:52,8.8,676,415,-0.7,-61,31
S14,Spring,Lucian,50,629,858,39%,332,297,53%,3.5,4.3,32:33,9.1,723,441,5.6,123,5
S14,Spring,Aatrox,1,1027,402,38%,494,533,48%,2.5,7.5,32:38,8.3,565,398,-1.7,-171,-40
S14,Spring,Nocturne,64,328,951,34%,136,192,41%,2.8,5.1,32:25,6.1,333,347,5.4,171,159
S14,Spring,Smolder,167,614,642,33%,317,297,52%,4.6,4.4,32:48,9.6,864,452,7.8,-321,106
S14,Spring,Rakan,136,802,389,31%,405,397,50%,3.9,7.5,32:42,1.2,158,254,-7.6,-98,-235
S14,Spring,Jax,35,558,584,30%,295,263,53%,2.7,7.2,32:23,7.7,487,397,-2.4,-42,-94
S14,Spring,Hwei,166,682,455,30%,326,356,48%,4.1,5.6,32:47,7.8,741,386,2.3,49,87
S14,Spring,Tristana,93,502,625,30%,260,242,52%,3.4,5.7,31:29,9.5,599,455,-0.5,183,-29
S14,Spring,Poppy,69,397,699,29%,210,187,53%,3.3,6.6,32:37,5.5,308,321,-6.5,-162,-210
S14,Spring,Twisted Fate,96,338,756,29%,206,132,61%,3.5,5.3,31:36,8.4,577,465,-1.4,574,-216
S14,Spring,Renata Glasc,159,495,595,29%,252,243,51%,3.9,6.9,31:29,1.1,197,261,-10.1,-33,-13
S14,Spring,Neeko,142,419,662,29%,216,203,52%,3.0,5.1,32:10,6.8,504,360,-1.4,12,16
S14,Spring,Lee Sin,47,627,449,28%,324,303,52%,3.5,6.6,32:16,5.9,349,352,0.1,146,35
S14,Spring,Sejuani,77,572,401,26%,266,306,47%,3.8,6.3,32:26,5.3,272,317,-2.3,-124,-70
S14,Spring,Udyr,98,508,405,24%,212,296,42%,2.3,6.3,31:57,7.5,459,358,-3.2,-96,12
S14,Spring,Ahri,2,572,308,23%,284,288,50%,4.9,6.0,31:58,8.6,648,413,-1,69,35
S14,Spring,Milio,163,524,342,23%,236,288,45%,5.1,5.8,32:20,1.2,113,250,-3.1,-104,-31
S14,Spring,Viego,154,557,307,23%,255,302,46%,3.3,7.2,32:12,6.4,339,367,8.7,206,256
S14,Spring,Akali,3,351,493,22%,167,184,48%,3.2,5.9,31:53,8.2,554,410,-2.7,-14,6
S14,Spring,Renekton,72,554,280,22%,296,258,53%,2.7,7.3,32:06,8.4,527,402,7.5,330,150
S14,Spring,Gnar,119,453,308,20%,235,218,52%,2.8,8.3,32:38,8.7,593,414,8.7,319,176
S14,Spring,Volibear,106,395,362,20%,184,211,47%,3.1,5.0,31:53,5.6,365,339,0.1,98,-8
S14,Spring,Zeri,158,558,184,20%,255,303,46%,4.1,5.7,32:28,10.1,681,461,9.5,232,191
S14,Spring,Corki,14,397,292,18%,196,201,49%,3.9,6.0,32:36,9.1,829,444,-0,143,-115
S14,Spring,LeBlanc,46,185,464,17%,91,94,49%,3.9,5.3,32:11,8.5,656,416,4.6,191,157
S14,Spring,Xayah,135,430,161,16%,214,216,50%,4.1,7.7,32:42,9.7,610,444,5,-5,145
S14,Spring,Draven,18,155,413,15%,77,78,50%,3.4,3.8,31:51,8.7,572,477,4.5,478,47
S14,Spring,Aphelios,147,423,144,15%,173,250,41%,2.7,6.3,31:55,9.1,616,420,-0.8,-277,-119
S14,Spring,Gwen,155,241,310,15%,110,131,46%,2.4,8.4,31:41,8.7,637,418,4.3,2,-142
S14,Spring,Alistar,4,356,186,14%,173,183,49%,2.7,8.6,32:12,1.0,143,245,-4.1,-155,-124
S14,Spring,Ezreal,21,386,150,14%,181,205,47%,3.5,7.4,32:32,8.8,747,419,6.2,-17,140
S14,Spring,Yone,150,283,235,14%,135,148,48%,2.4,7.6,31:31,9.1,580,425,3.9,181,12
S14,Spring,Jayce,36,262,248,13%,113,149,43%,2.6,7.2,32:00,8.8,736,421,5.2,169,-21
S14,Spring,Olaf,66,174,335,13%,102,72,59%,3.2,7.4,31:42,8.4,594,424,7.6,298,55
S14,Spring,Jinx,37,323,179,13%,159,164,49%,3.9,5.7,31:39,9.6,703,456,7.9,65,-36
S14,Spring,Kaisa,140,344,146,13%,164,180,48%,4.0,8.1,32:17,9.0,678,446,0.8,-40,43
S14,Spring,Jarvan IV,34,219,252,12%,112,107,51%,3.5,8.1,31:50,5.3,283,336,-4.9,-148,-176
S14,Spring,Tahm Kench,126,335,102,12%,154,181,46%,2.9,8.0,31:39,4.1,215,292,44.9,502,837
S14,Spring,Braum,118,225,211,12%,118,107,52%,3.6,8.2,31:54,1.0,159,251,-6.4,-48,-16
S14,Spring,Gragas,28,295,132,11%,143,152,48%,3.0,7.1,31:54,7.4,566,365,-2.9,-35,67
S14,Spring,Blitzcrank,9,152,207,9%,78,74,51%,2.9,7.9,32:14,1.0,193,253,-3.8,-160,-181
S14,Spring,Ornn,138,235,122,9%,112,123,48%,3.4,7.6,31:08,7.0,382,340,-2.2,-467,19
S14,Spring,Brand,10,152,190,9%,83,69,55%,3.5,4.7,31:33,6.9,657,381,11.9,394,488
S14,Spring,Nami,60,327,4,9%,190,137,58%,5.4,7.8,32:57,1.1,247,257,-4.7,-8,-74
S14,Spring,Seraphine,152,104,209,8%,51,53,49%,3.9,4.0,31:44,7.2,361,358,15.2,-144,143
S14,Spring,Zac,113,171,136,8%,83,88,49%,3.0,7.3,31:17,6.6,460,345,-5.8,-180,-64
S14,Spring,Aurelion Sol,130,151,136,8%,85,66,56%,5.0,5.3,31:19,8.6,779,426,-6.5,-201,-259
S14,Spring,Lulu,51,195,88,7%,79,116,41%,4.6,7.7,32:20,1.0,167,249,-4.2,-53,44
S14,Spring,RekSai,122,149,122,7%,79,70,53%,3.5,5.3,32:40,7.1,474,371,-2.7,56,135
S14,Spring,Bard,124,165,102,7%,92,73,56%,4.6,7.2,32:07,1.2,244,267,-16.9,-94,-82
S14,Spring,Ivern,133,115,150,7%,58,57,50%,5.2,4.3,32:14,5.0,195,314,-7.8,-138,-121
S14,Spring,Syndra,88,162,101,7%,74,88,46%,3.1,7.2,32:30,8.6,644,416,3.7,49,-35
S14,Spring,Wukong,108,170,75,6%,82,88,48%,3.2,8.1,32:16,5.9,338,348,-3.1,-156,-144
S14,Spring,Darius,15,74,165,6%,42,32,57%,2.8,5.8,31:16,7.9,476,409,12.5,516,272
S14,Spring,Caitlyn,11,103,135,6%,56,47,54%,3.6,6.3,32:36,8.7,637,427,13,354,167
S14,Spring,Pyke,141,95,118,6%,59,36,62%,3.0,6.7,31:38,1.6,260,309,-11,174,-310
S14,Spring,Leona,48,152,42,5%,73,79,48%,2.5,8.7,31:35,1.1,190,252,-7.9,-182,-113
S14,Spring,Fiora,23,73,120,5%,36,37,49%,1.9,6.5,31:11,8.9,621,443,3.4,-8,-128
S14,Spring,Belveth,160,65,125,5%,21,44,32%,2.5,4.4,31:01,6.7,311,378,9.6,297,301
S14,Spring,Jhin,129,145,34,5%,73,72,50%,5.1,7.5,32:30,8.5,542,414,-2.3,-250,-58
S14,Spring,Malphite,53,81,96,5%,38,43,47%,3.3,8.8,32:30,7.2,498,354,-11.3,-567,28
S14,Spring,Kindred,127,80,89,4%,51,29,64%,4.0,5.0,31:41,7.3,497,407,9.9,467,353
S14,Spring,Sylas,143,89,75,4%,40,49,45%,2.9,7.4,31:23,8.0,546,408,-8.2,-246,-166
S14,Spring,Lillia,149,68,93,4%,39,29,57%,4.5,4.6,30:59,7.4,571,395,12.3,322,438
S14,Spring,Sion,82,102,57,4%,48,54,47%,2.2,5.4,32:04,6.9,384,345,-3.5,-173,5
