Season,Split,Champion,Picks,Bans,Presence,Wins,Losses,Win Rate,KDA,Avg BT,Avg GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S13,Spring,Rumble,75,92,137,6%,48,44,52%,3.4,5.2,31:39,7.0,647,380,5.2,277,144
S13,Spring,Amumu,5,131,91,6%,68,63,52%,2.4,7.7,32:19,3.2,281,286,4.9,39,33
S13,Spring,Seraphine,152,76,136,5%,34,42,45%,3.9,3.8,30:51,7.0,462,358,-9.3,-685,-120
S13,Spring,Chogath,13,143,63,5%,63,80,44%,2.2,7.2,32:11,7.4,476,361,1.7,-61,-23
S13,Spring,Xin Zhao,110,155,48,5%,57,98,37%,2.1,7.0,30:38,5.4,364,334,0.3,-137,-9
S13,Spring,Poppy,69,103,99,5%,51,52,50%,2.8,6.5,32:53,5.1,300,315,-4.3,-117,-35
S13,Spring,Graves,29,113,87,5%,57,56,50%,3.6,5.2,31:50,7.3,468,395,14.7,414,441
S13,Spring,Rell,153,126,72,5%,67,59,53%,2.7,6.4,31:05,1.2,143,241,4.8,-13,80
S13,Spring,Pyke,141,88,95,5%,45,43,51%,3.0,6.6,31:35,1.6,199,284,7.5,209,-24
S13,Spring,Swain,87,87,76,4%,39,48,45%,3.1,7.5,31:44,7.3,536,357,-4.4,-87,-117
S13,Spring,Ziggs,115,90,63,4%,41,49,46%,4.2,7.0,33:46,8.7,802,406,-2.9,-180,37
S13,Spring,Yasuo,111,67,84,4%,31,36,46%,2.5,7.3,32:01,8.8,380,408,2.4,120,-94
S13,Spring,Udyr,98,60,88,4%,21,39,35%,1.9,4.0,30:54,6.8,463,346,10.9,-59,282
S13,Spring,Tahm Kench,126,116,31,4%,44,72,38%,2.5,8.5,31:35,1.8,177,241,2.1,-115,45
S13,Spring,Zac,113,51,86,3%,26,25,51%,3.5,3.4,31:46,5.3,358,327,-2.8,-158,17
S13,Spring,Zoe,139,62,75,3%,33,29,53%,3.9,6.4,31:31,7.2,660,375,-1.9,168,-145
S13,Spring,Alistar,4,99,34,3%,47,52,47%,2.8,8.9,31:11,1.1,135,235,2.7,-96,-40
S13,Spring,Senna,146,67,63,3%,26,41,39%,3.1,4.4,30:39,1.2,415,286,-1.9,477,297
S13,Spring,Nidalee,63,60,67,3%,26,34,43%,3.4,5.4,31:11,6.1,553,370,11.6,575,345
S13,Spring,Soraka,86,101,24,3%,41,60,41%,3.8,8.0,31:49,0.6,152,233,-6.5,-73,2
S13,Spring,Samira,151,57,66,3%,32,25,56%,3.7,7.2,30:56,8.5,533,453,0.8,453,165
S13,Spring,Aatrox,1,84,28,3%,43,41,51%,2.3,7.3,32:22,7.9,483,380,4,84,118
S13,Spring,Lillia,149,66,36,3%,29,37,44%,2.9,5.9,31:54,6.5,528,358,12.2,208,326
S13,Spring,Sett,148,60,22,2%,32,28,53%,2.3,8.6,32:26,6.0,438,346,-2.2,45,4
S13,Spring,Kled,132,47,33,2%,27,20,57%,3.2,7.4,31:17,7.6,521,408,-4.1,164,-125
S13,Spring,Miss Fortune,57,58,19,2%,28,30,48%,3.5,7.3,31:46,6.9,614,382,2,121,138
S13,Spring,Garen,27,34,42,2%,17,17,50%,2.4,5.2,30:46,8.5,443,412,-11.1,-373,29
S13,Spring,Karthus,39,26,43,2%,8,18,31%,2.1,3.3,30:38,7.6,842,390,21,311,665
S13,Spring,Belveth,160,38,21,1%,18,20,47%,3.0,6.6,29:49,5.2,288,350,12.5,425,366
S13,Spring,Trundle,94,42,12,1%,15,27,36%,2.9,7.1,31:56,4.8,247,316,-5.8,-232,-159
S13,Spring,Zilean,116,21,33,1%,9,12,43%,6.5,4.2,34:14,4.2,296,288,-6.5,-207,259
S13,Spring,Nocturne,64,33,15,1%,14,19,42%,2.2,7.1,29:55,5.9,301,339,4.2,-41,42
S13,Spring,Vex,157,29,15,1%,17,12,59%,4.1,8.7,32:27,7.6,689,404,1.4,383,81
S13,Spring,Sona,85,35,8,1%,16,19,46%,3.5,8.5,30:40,0.5,195,245,0,63,113
S13,Spring,Tryndamere,95,22,21,1%,16,6,73%,4.6,7.5,32:59,9.1,546,468,7.6,1004,413
S13,Spring,Riven,74,15,27,1%,7,8,47%,2.1,3.0,30:38,8.5,441,404,13.3,585,495
S13,Spring,Illaoi,128,24,18,1%,10,14,42%,1.5,7.7,31:55,8.0,713,387,7.3,43,266
S13,Spring,Twisted Fate,96,27,13,1%,17,10,63%,4.8,8.2,32:13,7.9,448,411,-13.6,206,-296
S13,Spring,Pantheon,68,27,10,1%,14,13,52%,2.4,8.7,30:36,5.9,464,350,-6.3,-171,-413
S13,Spring,Corki,14,28,7,1%,11,17,39%,3.2,7.3,32:48,9.2,802,443,0.1,207,-217
S13,Spring,Twitch,97,22,11,1%,4,18,18%,2.2,7.7,31:53,6.2,636,365,-11.1,-622,-486
S13,Spring,Nilah,161,13,18,1%,9,4,69%,6.2,7.0,30:59,9.1,310,425,-2.9,116,827
S13,Spring,Taric,90,18,12,1%,7,11,39%,2.2,5.2,32:47,1.2,116,235,5.7,-349,54
S13,Spring,RekSai,122,12,18,1%,6,6,50%,2.1,4.3,32:48,5.9,411,374,1.1,16,-102
S13,Spring,Mordekaiser,58,25,4,1%,14,11,56%,2.6,6.5,31:52,7.9,561,381,0.3,-211,-31
S13,Spring,Nunu,65,11,16,1%,10,1,91%,7.3,3.3,31:17,5.1,268,347,6.6,-289,1
S13,Spring,KhaZix,44,19,7,1%,14,5,74%,4.0,7.3,30:22,6.4,452,394,-2.4,-10,-57
S13,Spring,Vladimir,105,14,10,1%,8,6,57%,3.2,8.5,30:16,8.1,605,396,8.6,-80,272
S13,Spring,Morgana,59,15,8,1%,6,9,40%,3.6,8.3,31:16,1.8,281,262,-10.1,-68,-8
S13,Spring,VelKoz,123,12,10,1%,4,8,33%,3.2,5.7,32:43,7.8,773,381,6.9,39,283
S13,Spring,Xerath,109,12,8,0%,5,7,42%,5.8,8.5,32:10,7.2,743,375,-14.2,1,17
S13,Spring,Diana,16,12,7,0%,6,6,50%,3.1,6.3,31:15,6.8,447,364,10.3,120,397
S13,Spring,KogMaw,45,14,4,0%,6,8,43%,2.3,7.0,31:46,8.4,788,395,-3.8,-591,-238
S13,Spring,Zyra,117,10,7,0%,5,5,50%,2.1,6.6,33:33,1.3,547,276,1.7,468,275
S13,Spring,Rengar,73,11,5,0%,6,5,55%,2.5,4.8,31:17,5.8,384,373,2.7,-266,154
S13,Spring,Urgot,99,11,5,0%,7,4,64%,3.6,8.8,33:12,8.5,517,426,1,-42,-16
S13,Spring,Bard,124,7,9,0%,4,3,57%,6.8,3.6,33:45,1.1,208,249,5.6,9,201
S13,Spring,Hecarim,30,11,4,0%,4,7,36%,2.4,7.0,31:16,6.7,448,382,16.9,90,487
S13,Spring,Kayn,137,6,9,0%,2,4,33%,3.5,6.8,33:55,6.1,495,364,5.2,-362,-24
S13,Spring,Akshan,156,8,7,0%,3,5,38%,2.4,8.9,33:49,8.0,486,409,5.9,753,78
S13,Spring,Janna,33,10,3,0%,4,6,40%,2.5,7.3,31:52,0.8,125,232,-14.9,-685,-507
S13,Spring,Vayne,101,11,1,0%,2,9,18%,2.0,3.0,28:52,8.3,328,373,-17.6,-847,-256
S13,Spring,Zed,114,10,2,0%,4,6,40%,2.1,8.5,31:54,8.2,525,391,-6.4,-715,-377
S13,Spring,Nasus,61,11,0,0%,5,6,45%,3.4,-,29:16,7.5,545,389,-12.8,-580,-220
S13,Spring,Volibear,106,6,5,0%,3,3,50%,2.4,8.8,29:51,4.8,243,319,-4.2,-271,-332
S13,Spring,Dr. Mundo,17,6,4,0%,4,2,67%,2.6,3.0,27:32,7.8,504,374,-6.2,-655,-588
S13,Spring,Singed,81,7,3,0%,4,3,57%,3.6,8.3,32:15,5.1,351,338,11.3,-152,507
S13,Spring,Ekko,125,6,4,0%,3,3,50%,3.8,6.0,35:23,9.4,600,432,5.2,428,355
