Name,Record,KDA,CSPM,GPM,Gold %,Kill Participation %,Damage Per Minute,Damage %,K+A/M,Solo Kills,Penta Kills,Champion A,Games A,Winrate A,Champion B,Games B,Winrate B,Champion C,Games C,Winrate C
Buggy S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S11 Summer,8W - 10L,8.8,8.2,403,23.3%,69.4%,485.3,24.7%,0.31,10,-,Orianna,6,50%,Lucian,4,75%,Syndra,2,0%
Chreak S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chreak S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baut S11 Spring,18W - 13L,3.4,1.4,238,13.2%,64.7%,139.4,7.7%,0.28,-,-,Rell,8,75%,Alistar,5,20%,Thresh,4,75%
Baut S11 Summer,8W - 11L,3.1,1.6,236,13.6%,72.7%,130.6,7%,0.26,1,-,Leona,4,50%,Tahm Kench,3,0%,Nautilus,3,33.3%
Baut S12 Spring,9W - 27L,2.6,1.1,225,13.4%,64.7%,130.5,8.1%,0.21,4,-,Nautilus,8,25%,Karma,5,0%,Tahm Kench,5,40%
Baut S12 Summer,11W - 25L,3.3,1.4,231,13.4%,73.3%,148.5,7.7%,0.25,1,-,Nautilus,8,25%,Leona,5,20%,Tahm Kench,5,20%
Baut S13 Spring,34W - 26L,4.3,0.8,244,13.5%,75.4%,240.1,10.6%,0.3,-,-,Lux,7,71.4%,Nami,7,57.1%,Nautilus,7,71.4%
Baut S13 Summer,13W - 29L,3.0,1.1,232,12.8%,72.7%,143.3,7.1%,0.28,3,-,Nautilus,10,50%,Rell,8,25%,Rakan,7,14.3%
Baut S14 Spring,31W - 24L,3.8,2.1,261,14.3%,68.8%,174.4,8.1%,0.27,2,-,Nautilus,16,62.5%,Tahm Kench,10,40%,Rakan,6,33.3%
Cisse S11 Spring,2W - 8L,1.5,1,220,13.7%,63.5%,182,10.1%,0.24,1,-,Leona,5,20%,Maokai,2,50%,Alistar,1,0%
Cisse S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cisse S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cisse S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cisse S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cisse S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cisse S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bvoy S11 Spring,9W - 9L,4.5,8.5,404,23.4%,72%,577.8,29.4%,0.28,4,-,Ezreal,6,66.7%,Senna,2,50%,Jhin,2,50%
Bvoy S11 Summer,16W - 11L,5.0,9,435,24.4%,74.3%,631,29.9%,0.35,4,-,Varus,9,55.6%,Ezreal,4,50%,Kaisa,4,50%
Bvoy S12 Spring,16W - 14L,4.1,9,429,24.1%,74.5%,566.8,30%,0.29,5,-,Jinx,8,62.5%,Zeri,4,25%,Kalista,3,66.7%
Bvoy S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bvoy S13 Spring,19W - 14L,5.4,9.6,441,24.9%,73.4%,646.8,30.1%,0.27,5,-,Xayah,8,62.5%,Zeri,7,57.1%,Lucian,5,40%
Bvoy S13 Summer,21W - 12L,5.4,9.8,474,25.5%,73%,765.5,32.5%,0.34,3,-,Kaisa,9,77.8%,Xayah,7,85.7%,Aphelios,6,66.7%
Bvoy S14 Spring,5W - 7L,5.1,9,428,24.3%,71.1%,747.9,31.5%,0.33,-,-,Varus,4,75%,Xayah,2,50%,Kaisa,2,0%
Blizz S11 Spring,7W - 6L,3.3,8.2,392,22.1%,63.6%,509.7,25.4%,0.29,3,-,Lucian,3,33.3%,Twisted Fate,3,33.3%,Galio,2,50%
Blizz S11 Summer,16W - 13L,4.8,7.7,386,21.8%,74.3%,493.1,24.1%,0.35,10,-,Lulu,4,50%,Twisted Fate,3,33.3%,Zoe,2,50%
Blizz S12 Spring,14W - 9L,5.8,7.7,388,21.6%,68.8%,433.9,23.8%,0.34,8,-,Twisted Fate,4,75%,Corki,2,100%,LeBlanc,2,100%
Blizz S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blizz S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blizz S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blizz S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bdd S11 Spring,31W - 16L,5.1,9.1,402,21.9%,66.5%,509.7,28.7%,0.26,12,-,Syndra,19,63.2%,Azir,14,71.4%,Orianna,9,66.7%
Bdd S11 Summer,38W - 28L,4.1,8.2,386,21.5%,65.2%,470.8,26%,0.26,13,-,Azir,15,53.3%,Syndra,9,77.8%,Akali,7,71.4%
Bdd S12 Spring,15W - 25L,3.2,8.4,376,21.7%,60.7%,419.3,24.4%,0.19,4,-,Viktor,6,50%,Azir,5,40%,Syndra,5,20%
Bdd S12 Summer,14W - 28L,3.3,8.5,386,22.5%,65.9%,561.8,28.7%,0.23,6,-,Azir,11,27.3%,Ryze,5,40%,Corki,3,0%
Bdd S13 Spring,37W - 23L,4.8,8.7,398,21.8%,67.4%,472.1,24.4%,0.24,10,-,Veigar,9,77.8%,Taliyah,8,50%,Twisted Fate,7,71.4%
Bdd S13 Summer,50W - 19L,5.7,8.7,409,21.5%,70.1%,546.1,26.2%,0.33,9,-,Azir,20,80%,Annie,11,81.8%,Neeko,9,88.9%
Bdd S14 Spring,28W - 21L,4.5,8.8,407,22.2%,74.5%,621.5,26.9%,0.31,7,-,Taliyah,12,66.7%,Orianna,11,63.6%,Azir,8,37.5%
Canna S11 Spring,18W - 14L,2.9,8.2,395,21.6%,62.1%,426.5,22.8%,0.25,7,-,Gnar,6,83.3%,Gragas,6,50%,Renekton,5,80%
Canna S11 Summer,45W - 29L,3.4,8.4,406,22.4%,64.2%,482.4,26.3%,0.24,32,-,Kennen,15,73.3%,Jayce,14,64.3%,Gnar,11,63.6%
Canna S12 Spring,16W - 25L,2.6,8.7,405,23.3%,55.9%,519.4,29.3%,0.19,18,-,Graves,10,60%,Gwen,6,33.3%,Jayce,5,20%
Canna S12 Summer,14W - 28L,2.6,8.2,386,22.4%,61%,496.4,25.7%,0.19,8,-,Gwen,9,33.3%,Gnar,7,14.3%,Gangplank,6,16.7%
Canna S13 Spring,27W - 17L,3.8,8.6,391,21.5%,51.3%,477.8,21%,0.2,11,-,Gnar,10,50%,Renekton,10,100%,Jayce,7,42.9%
Canna S13 Summer,35W - 24L,3.1,8.2,386,20.9%,54.1%,475.4,21.1%,0.22,15,-,Renekton,14,42.9%,Jax,12,66.7%,KSante,10,70%
Canna S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bwipo S11 Spring,12W - 13L,2.3,7.4,381,20.9%,56%,469.5,23.3%,0.29,13,-,Renekton,4,75%,Gragas,3,66.7%,Volibear,3,66.7%
Bwipo S11 Summer,25W - 21L,3.8,6,363,19.4%,69.8%,403.7,19.3%,0.39,12,-,Viego,14,64.3%,Trundle,6,100%,Lee Sin,5,20%
Bwipo S12 Spring,29W - 14L,2.7,8.8,425,22.7%,57.8%,523.9,26.5%,0.25,23,-,Graves,9,77.8%,Gangplank,4,50%,Ornn,3,66.7%
Bwipo S12 Summer,22W - 15L,2.8,8.5,417,22.8%,58.4%,566.3,27%,0.25,11,-,Olaf,7,42.9%,Gangplank,5,80%,Aatrox,5,40%
Bwipo S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bwipo S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bwipo S14 Spring,19W - 14L,2.7,8,396,21.7%,62.7%,551.3,22.8%,0.26,5,-,Renekton,7,85.7%,Olaf,5,80%,Udyr,4,75%
Cerecof S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cerecof S11 Summer,8W - 10L,2.3,1.6,239,13.9%,54.6%,147.2,7.7%,0.26,-,-,Leona,5,60%,Nautilus,4,25%,Rell,2,50%
Cerecof S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cerecof S12 Summer,6W - 12L,2.2,1.4,228,13.5%,73.2%,148.3,7.5%,0.24,1,-,Nautilus,5,20%,Sett,2,50%,Leona,2,0%
Cerecof S13 Spring,16W - 12L,2.9,1,244,13.3%,71.3%,177.4,7.9%,0.37,-,-,Nautilus,5,60%,Leona,5,80%,Lulu,3,33.3%
Cerecof S13 Summer,15W - 18L,2.3,1.3,239,13%,64.9%,173.9,7.3%,0.34,1,-,Nautilus,11,54.5%,Leona,5,20%,Pyke,4,50%
Cerecof S14 Spring,9W - 9L,3.4,1,252,13.7%,75.2%,191,7.7%,0.37,-,-,Rell,4,25%,Renata Glasc,2,50%,Nautilus,2,50%
Checkfider S11 Spring,2W - 12L,2.2,7.4,394,23.5%,61.9%,499.5,23.9%,0.3,1,-,Vayne,4,50%,Kaisa,4,0%,Miss Fortune,2,0%
Checkfider S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Checkfider S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Checkfider S12 Summer,1W - 3L,3.1,0.5,223,13.7%,81.8%,177.2,9.3%,0.28,-,-,Yuumi,2,0%,Lulu,1,0%,Nautilus,1,100%
Checkfider S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Checkfider S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
