Name,Record,KDA,CSPM,GPM,Gold %,Kill Participation %,Damage Per Minute,Damage %,K+A/M,Solo Kills,Penta Kills,Champion A,Games A,Winrate A,Champion B,Games B,Winrate B,Champion C,Games C,Winrate C
2Cups S11 Spring,9W - 9L,3.5,8.3,390,22.3%,64.6%,439.2,23.7%,0.29,1,-,Galio,4,50%,Orianna,3,33.3%,Irelia,3,33.3%
2Cups S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S12 Spring,2W - 4L,2.4,7.5,340,20%,59%,421.4,21.9%,0.23,2,-,Viktor,2,50%,Akali,1,100%,Orianna,1,0%
2Cups S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2Cups S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S11 Spring,13W - 4L,3.8,7.8,408,21.6%,66.6%,588.2,28%,0.36,8,-,Twisted Fate,3,66.7%,Zoe,3,66.7%,Seraphine,2,100%
5fire S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5fire S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S11 Spring,0W - 4L,1.2,1.3,203,13%,77.3%,96.5,6.7%,0.13,-,-,Rakan,2,0%,Leona,1,0%,Blitzcrank,1,0%
1roNN S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1roNN S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S11 Summer,2W - 20L,1.4,7.4,341,21.4%,57.3%,355.1,22.7%,0.16,-,-,Camille,4,0%,Viego,4,25%,Gwen,3,0%
Aliez S12 Spring,6W - 11L,2.3,7.3,356,20.6%,49.4%,411.5,20.8%,0.21,-,-,Kennen,6,50%,Gwen,4,50%,Gnar,3,0%
Aliez S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aliez S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S11 Summer,1W - 0L,8.0,8,370,20.7%,53.3%,303.6,17.6%,0.24,-,-,Syndra,1,100%,-,-,-,-,-,-
Ace0 S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace0 S14 Spring,11W - 9L,3.0,8.2,397,22.2%,71%,532.4,21.6%,0.28,2,-,Senna,3,66.7%,Varus,2,50%,Caitlyn,2,100%
Aboekra S11 Spring,0W - 10L,1.0,7.3,341,21.2%,42.4%,377.9,21.6%,0.14,2,-,Shen,3,0%,Fiora,3,0%,Yorick,1,0%
Aboekra S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aboekra S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S11 Spring,2W - 6L,1.9,7.6,342,21.7%,57%,273.5,23.4%,0.14,-,-,Syndra,3,66.7%,Zoe,2,0%,Sylas,1,0%
Balta129 S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S12 Spring,12W - 10L,3.2,7.9,393,22.4%,66.1%,519.6,30%,0.27,8,-,Viktor,7,57.1%,Syndra,4,50%,Corki,2,100%
Balta129 S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balta129 S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S11 Summer,2W - 0L,4.3,8.2,407,19.6%,51.6%,329.5,12.2%,0.43,-,-,Irelia,1,100%,Ryze,1,100%,-,-,-
2T S12 Spring,14W - 20L,2.5,7.6,374,20.4%,58.5%,476.2,23.4%,0.32,14,-,Ahri,8,50%,Ryze,6,16.7%,Vex,5,60%
2T S12 Summer,2W - 11L,1.2,8,373,21.1%,43.3%,546.5,26.9%,0.18,6,-,Akali,3,0%,Gnar,3,0%,Kassadin,1,0%
2T S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2T S14 Spring,0W - 20L,1.0,7.8,362,21.2%,42%,492.3,22.9%,0.15,11,-,KSante,6,0%,Aatrox,6,0%,Jax,2,0%
5Kid S11 Spring,6W - 8L,5.2,9.8,440,25.3%,72.4%,507,27.2%,0.3,1,-,Kaisa,3,33.3%,Ezreal,3,33.3%,Jinx,3,33.3%
5Kid S11 Summer,8W - 10L,4.8,10.3,425,24.1%,56.1%,487.9,27%,0.19,1,-,Ezreal,4,50%,Varus,3,0%,Aphelios,3,66.7%
5Kid S12 Spring,20W - 12L,3.8,9.5,434,24.3%,70.7%,535.8,28.1%,0.28,6,-,Aphelios,8,75%,Xayah,6,100%,Jinx,5,60%
5Kid S12 Summer,15W - 15L,3.2,9.9,443,24.9%,69.2%,681.7,30.7%,0.27,7,-,Aphelios,9,55.6%,Ezreal,6,83.3%,Kaisa,3,100%
5Kid S13 Spring,15W - 13L,3.8,9.9,450,25.2%,71.1%,696.6,30.3%,0.27,5,-,Xayah,5,100%,Varus,4,50%,Lucian,4,75%
5Kid S13 Summer,13W - 12L,3.8,9.9,469,25.5%,73.6%,702.3,29.8%,0.34,3,-,Aphelios,5,20%,Lucian,4,75%,Kaisa,4,25%
5Kid S14 Spring,8W - 22L,2.5,8.2,404,23.4%,72%,604.3,28.2%,0.27,3,-,Varus,8,12.5%,Senna,4,0%,Kalista,3,33.3%
Abbedagge S11 Spring,15W - 15L,4.0,9.4,415,23.3%,64%,486.9,27.4%,0.25,8,-,Orianna,6,83.3%,Azir,6,16.7%,Viktor,4,25%
Abbedagge S11 Summer,32W - 17L,4.1,8.6,399,22.2%,68.4%,440.6,23.7%,0.28,14,-,Ryze,12,58.3%,Orianna,8,62.5%,Sylas,5,80%
Abbedagge S12 Spring,21W - 14L,3.2,8.6,405,22.2%,61.5%,527.1,27.6%,0.26,5,-,Corki,5,60%,Twisted Fate,5,80%,Viktor,5,100%
Abbedagge S12 Summer,22W - 19L,3.7,8.7,396,22.5%,63.8%,534.3,27.3%,0.26,1,-,Azir,11,45.5%,Ahri,8,50%,Taliyah,7,57.1%
Abbedagge S13 Spring,0W - 3L,1.5,7.3,350,21.6%,64.5%,545.7,25.6%,0.18,-,-,Gragas,2,0%,Jayce,1,0%,-,-,-
Abbedagge S13 Summer,16W - 18L,3.8,8.7,420,22.7%,66.9%,654.5,28%,0.31,8,-,Azir,12,41.7%,Ahri,4,50%,Jayce,4,50%
Abbedagge S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bendix S11 Spring,14W - 7L,6.0,7.7,395,20.9%,65.2%,466.1,21.7%,0.43,5,-,Karma,6,83.3%,Orianna,5,80%,Syndra,2,100%
Bendix S11 Summer,18W - 13L,5.3,8.3,406,22.8%,64.8%,532.7,25.4%,0.31,14,-,Orianna,3,33.3%,Ezreal,3,100%,Corki,3,66.7%
Bendix S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bendix S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bendix S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bendix S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bendix S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ackerman S11 Spring,19W - 14L,5.9,1.7,248,13.9%,70.5%,159.4,8.8%,0.3,-,-,Rell,9,77.8%,Alistar,6,66.7%,Thresh,4,50%
Ackerman S11 Summer,17W - 10L,6.1,1.5,244,13.6%,66.4%,179.5,9%,0.3,-,-,Nautilus,6,83.3%,Braum,5,60%,Sett,4,100%
Ackerman S12 Spring,9W - 12L,3.1,1.2,216,12.6%,66.6%,132.4,7.9%,0.21,-,-,Nautilus,9,44.4%,Tahm Kench,5,20%,Leona,3,100%
Ackerman S12 Summer,12W - 9L,5.0,1.3,251,14%,81.8%,214.8,10.9%,0.32,1,-,Renata Glasc,6,50%,Braum,3,100%,Pyke,2,50%
Ackerman S13 Spring,15W - 13L,6.5,1.1,249,13.9%,80.4%,222.9,9.7%,0.31,1,-,Rakan,7,85.7%,Nami,4,75%,Karma,3,66.7%
Ackerman S13 Summer,13W - 12L,4.5,1.1,244,13.2%,80.6%,180.7,7.8%,0.39,-,-,Nautilus,6,50%,Rell,5,80%,Rakan,5,40%
Ackerman S14 Spring,32W - 9L,7.8,1.6,290,14.9%,81.4%,302.5,12%,0.46,-,-,Nautilus,9,77.8%,Rell,6,83.3%,Senna,5,100%
Alvanai S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alvanai S11 Summer,1W - 6L,1.6,7.6,377,22.3%,52.5%,557.8,24%,0.27,3,-,Akali,2,0%,Lee Sin,1,100%,Azir,1,0%
Alvanai S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alvanai S12 Summer,5W - 9L,2.7,8.3,386,22.1%,64%,447.9,23%,0.22,5,-,Sylas,2,50%,Azir,2,0%,Swain,2,100%
Alvanai S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alvanai S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alvanai S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Artifact S11 Spring,22W - 23L,4.1,8.3,399,21.9%,63.8%,524.3,26.4%,0.31,19,-,Syndra,8,50%,Orianna,6,66.7%,Lucian,5,60%
Artifact S11 Summer,0W - 5L,1.2,7.7,344,22%,52.9%,464.6,25.9%,0.15,-,-,Syndra,2,0%,Irelia,1,0%,Ryze,1,0%
Artifact S12 Spring,23W - 15L,4.6,8.8,438,22.9%,63.5%,578.2,25.4%,0.38,18,-,Ahri,10,90%,Viktor,8,37.5%,Ryze,6,50%
Artifact S12 Summer,25W - 21L,5.1,8.8,417,22.4%,61.7%,638.5,27.3%,0.32,13,-,Azir,8,37.5%,Sylas,8,50%,Ahri,8,50%
Artifact S13 Spring,11W - 22L,3.1,8.4,380,21.7%,66.3%,527.9,24.5%,0.25,4,-,Jayce,5,20%,Ahri,5,60%,Cassiopeia,4,50%
Artifact S13 Summer,6W - 6L,4.2,9.1,429,23.4%,65.2%,664.1,27.8%,0.28,2,-,Azir,3,33.3%,Ahri,3,66.7%,Tristana,2,0%
Artifact S14 Spring,0W - 24L,2.2,8.8,396,23%,60.1%,583.5,28.9%,0.22,11,-,Azir,6,0%,Orianna,5,0%,LeBlanc,3,0%
Aria S11 Spring,18W - 7L,7.8,8.6,412,22.6%,67.3%,465.7,25.1%,0.34,6,-,Zoe,6,50%,Syndra,4,75%,Seraphine,3,100%
Aria S11 Summer,24W - 13L,8.1,8.6,417,23.1%,67.5%,472.1,24.9%,0.33,10,-,LeBlanc,7,71.4%,Ryze,6,100%,Twisted Fate,4,50%
Aria S12 Spring,12W - 17L,3.3,8,369,21.1%,57.6%,394.9,22.9%,0.2,4,-,LeBlanc,7,42.9%,Orianna,4,50%,Twisted Fate,4,50%
Aria S12 Summer,3W - 6L,4.1,9,394,22.1%,72.1%,506.5,24.7%,0.2,1,-,Lissandra,3,66.7%,Ahri,2,0%,Corki,2,0%
Aria S13 Spring,31W - 11L,7.2,8.9,438,22.9%,68.8%,675.8,27.2%,0.38,15,-,Annie,7,85.7%,Ahri,6,66.7%,Azir,5,80%
Aria S13 Summer,21W - 10L,5.4,9.2,450,23.9%,66.4%,711.9,29.2%,0.36,12,-,Azir,4,75%,Neeko,4,75%,Jayce,3,66.7%
Aria S14 Spring,29W - 10L,6.4,9.4,453,23.6%,75.6%,807.6,31.1%,0.41,16,-,Azir,14,78.6%,Orianna,7,71.4%,Taliyah,4,50%
Araignee S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Araignee S11 Summer,8W - 10L,4.3,7.6,381,22%,52.7%,554.6,27.8%,0.26,2,-,Ezreal,6,66.7%,Ashe,3,0%,Senna,2,50%
Araignee S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Araignee S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Araignee S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Araignee S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Araignee S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S11 Spring,13W - 25L,2.9,8.6,417,23.8%,66.7%,476.9,24.2%,0.28,10,-,Kaisa,15,46.7%,Xayah,7,28.6%,Jinx,5,20%
BigKoro S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BigKoro S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Achuu S11 Spring,7W - 9L,5.1,9.4,434,24.7%,70.3%,568,30.2%,0.26,3,-,Xayah,4,75%,Kaisa,4,25%,Aphelios,2,50%
Achuu S11 Summer,5W - 11L,2.8,8.3,398,23.2%,59.7%,614,29.7%,0.25,3,-,Ezreal,3,66.7%,Tristana,3,66.7%,Varus,2,0%
Achuu S12 Spring,10W - 8L,3.7,8.3,402,22.4%,64.1%,561.5,26.1%,0.27,2,-,Jinx,5,60%,Aphelios,3,66.7%,Varus,3,66.7%
Achuu S12 Summer,3W - 13L,2.9,8.1,389,23.5%,68.5%,590.7,29%,0.22,3,-,Twitch,5,20%,Tristana,4,0%,Zeri,2,100%
Achuu S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Achuu S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Achuu S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akabane S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akabane S11 Summer,41W - 21L,4.5,5.8,379,20%,72.8%,353.9,15.7%,0.45,9,-,Lee Sin,21,66.7%,Viego,14,57.1%,Xin Zhao,9,77.8%
Akabane S12 Spring,7W - 11L,3.3,5.9,344,19.6%,71.5%,278.8,13%,0.26,1,-,Xin Zhao,7,57.1%,Lee Sin,5,40%,Viego,3,33.3%
Akabane S12 Summer,31W - 15L,5.4,5.9,367,19.5%,70.6%,309.4,12.9%,0.38,11,-,Wukong,11,63.6%,Lee Sin,10,50%,Vi,8,100%
Akabane S13 Spring,16W - 8L,4.8,5.8,368,19.1%,72.8%,329.6,13.5%,0.43,-,-,Vi,9,77.8%,Wukong,6,50%,Lee Sin,4,75%
Akabane S13 Summer,8W - 11L,3.3,5.1,327,18.5%,72.8%,263.2,11.9%,0.32,2,-,Vi,5,40%,Sejuani,4,50%,Xin Zhao,2,0%
Akabane S14 Spring,3W - 5L,3.0,5.4,326,18.4%,72.5%,269.3,12.5%,0.31,-,-,Xin Zhao,2,50%,Maokai,2,50%,Rell,1,0%
Bankai S11 Spring,7W - 11L,2.4,8.1,374,21.7%,50.3%,375,20.7%,0.2,6,-,Renekton,6,33.3%,Aatrox,3,33.3%,Irelia,2,0%
Bankai S11 Summer,8W - 10L,3.8,8.4,408,23.4%,68.8%,473.8,24.9%,0.29,10,-,Renekton,3,66.7%,Lee Sin,3,33.3%,Sett,2,50%
Bankai S12 Spring,6W - 12L,2.0,8.3,387,22.3%,49.1%,416.5,23.9%,0.2,6,-,Akali,3,33.3%,Kennen,3,33.3%,Gwen,3,0%
Bankai S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bankai S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bankai S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bankai S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acee S11 Spring,18W - 14L,5.6,7.7,370,21.2%,76.3%,412.3,22.5%,0.29,3,-,Galio,5,80%,Orianna,4,75%,Zoe,4,50%
Acee S11 Summer,10W - 9L,3.5,7.2,358,20.9%,74.7%,490.9,22.9%,0.31,2,-,Orianna,5,80%,LeBlanc,4,25%,Galio,3,66.7%
Acee S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acee S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acee S13 Spring,2W - 28L,2.0,7.9,347,22%,66.8%,452,25.8%,0.17,3,-,LeBlanc,5,0%,Akali,4,0%,Tristana,4,25%
Acee S13 Summer,2W - 17L,1.7,8.1,355,22.1%,70.7%,527.5,29.8%,0.17,1,-,Annie,5,40%,Jayce,2,0%,Neeko,2,0%
Acee S14 Spring,10W - 21L,3.2,8.4,389,22.2%,63.7%,602.8,26%,0.27,7,-,Orianna,5,20%,Yone,5,20%,Tristana,4,50%
Beats S11 Spring,8W - 9L,2.4,1,228,13.1%,69.8%,161.3,9.4%,0.31,-,-,Rell,6,33.3%,Alistar,4,50%,Nautilus,3,33.3%
Beats S11 Summer,16W - 13L,3.0,1.1,232,13%,68.3%,142.9,7.2%,0.32,1,-,Leona,11,54.5%,Thresh,5,60%,Nautilus,3,33.3%
Beats S12 Spring,15W - 12L,3.3,1.1,239,13.2%,62.9%,166.8,8.6%,0.32,1,-,Nautilus,6,50%,Tahm Kench,6,66.7%,Lulu,4,75%
Beats S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beats S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beats S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beats S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1116 S11 Spring,15W - 9L,3.2,8.5,392,22.1%,67.5%,528.5,27.8%,0.31,3,-,Azir,8,75%,Viktor,7,42.9%,Orianna,5,60%
1116 S11 Summer,28W - 15L,3.8,8.3,402,21.9%,65.2%,456.5,22.4%,0.33,8,-,Ryze,13,61.5%,Sylas,6,66.7%,Orianna,5,60%
1116 S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1116 S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1116 S13 Spring,16W - 12L,4.1,8,377,21.4%,67.1%,581,27.6%,0.27,3,-,Ryze,7,42.9%,Jayce,6,83.3%,Gragas,5,80%
1116 S13 Summer,24W - 10L,5.3,8.8,435,22.7%,70.8%,671.4,29.1%,0.37,8,-,LeBlanc,9,55.6%,Annie,7,100%,Jayce,6,66.7%
1116 S14 Spring,20W - 18L,3.7,8.5,403,21.9%,73%,688.7,27.1%,0.33,12,-,Hwei,8,50%,Karma,7,57.1%,Neeko,6,66.7%
369 S11 Spring,30W - 17L,3.7,8.1,410,21.5%,58.3%,560,25.5%,0.32,18,-,Jayce,9,77.8%,Gangplank,5,20%,Sion,5,40%
369 S11 Summer,8W - 6L,2.7,8.1,404,21.3%,57%,597,27.2%,0.28,-,-,Jayce,5,60%,Gwen,2,50%,Camille,2,50%
369 S12 Spring,32W - 20L,3.0,7.7,393,21.3%,60.8%,552.8,26.6%,0.29,-,-,Kennen,16,68.8%,Jayce,10,50%,Sion,6,66.7%
369 S12 Summer,49W - 20L,3.4,8.1,413,21.6%,62.5%,601.1,24.8%,0.32,10,-,Gangplank,9,88.9%,Sejuani,9,77.8%,Gnar,7,57.1%
369 S13 Spring,49W - 14L,3.9,7.8,381,19.6%,53%,488.6,20.4%,0.28,1,-,Gragas,12,83.3%,KSante,12,83.3%,Sion,11,81.8%
369 S13 Summer,46W - 16L,4.4,8,383,19.9%,57.7%,486.9,21%,0.29,2,-,Ornn,16,93.8%,KSante,14,78.6%,Renekton,10,60%
369 S14 Spring,47W - 22L,3.6,8.5,411,21.4%,53.2%,581.8,22.7%,0.26,-,-,Aatrox,13,76.9%,KSante,12,50%,Renekton,12,75%
ACD S11 Spring,3W - 15L,1.4,7.8,370,22.6%,62.6%,549.3,32%,0.16,12,-,Gangplank,8,37.5%,Sion,3,0%,Gragas,3,0%
ACD S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACD S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACD S12 Summer,18W - 9L,3.1,8.3,441,23.4%,64.7%,685.9,27.3%,0.33,28,-,Gangplank,8,75%,Gwen,6,83.3%,Olaf,5,60%
ACD S13 Spring,22W - 10L,3.1,7.8,410,21.6%,54.8%,637.2,24.2%,0.29,12,-,Gwen,6,66.7%,Kled,6,100%,Gragas,5,80%
ACD S13 Summer,28W - 6L,3.8,7.8,429,21.4%,59%,690.7,25%,0.36,17,-,Kled,8,75%,Gangplank,7,100%,Ornn,5,60%
ACD S14 Spring,11W - 11L,2.0,7.7,387,21.5%,51.9%,561.3,24.7%,0.23,8,-,Gwen,5,80%,Rumble,4,50%,Kled,3,0%
Blaze S11 Spring,7W - 15L,2.8,8.3,394,23.3%,60.9%,449.4,24.6%,0.26,5,-,Kaisa,7,57.1%,Senna,3,33.3%,Jinx,3,33.3%
Blaze S11 Summer,4W - 11L,2.9,9,400,23.9%,60.4%,518.3,26%,0.27,1,-,Aphelios,4,25%,Varus,4,50%,Ezreal,2,50%
Blaze S12 Spring,6W - 15L,2.0,9.3,406,23.7%,50.6%,407.9,25.2%,0.19,3,-,Jinx,9,33.3%,Xayah,4,25%,Aphelios,2,50%
Blaze S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blaze S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blaze S13 Summer,2W - 16L,1.4,8.3,367,22.9%,62.2%,425.1,24.5%,0.18,2,-,Xayah,5,0%,Kaisa,4,0%,Varus,2,0%
Blaze S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S11 Summer,5W - 12L,1.8,5.3,313,18.7%,60.8%,351.8,16.6%,0.23,2,-,Xin Zhao,6,33.3%,Diana,4,25%,Viego,2,50%
Ashanome S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashanome S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S11 Summer,0W - 8L,1.3,7,321,20.3%,50.9%,249.5,17.6%,0.15,3,-,Renekton,4,0%,Lee Sin,1,0%,Akali,1,0%
Anka S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Anka S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6ax S11 Spring,0W - 4L,1.7,8.5,371,23.3%,69%,505.6,34.8%,0.18,-,-,Orianna,2,0%,Viktor,1,0%,Syndra,1,0%
6ax S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6ax S12 Spring,8W - 10L,3.7,8.1,399,22.4%,66%,520.3,26.6%,0.33,7,-,Veigar,3,66.7%,Vex,2,50%,Twisted Fate,2,50%
6ax S12 Summer,7W - 7L,3.3,7.1,346,19.3%,58%,406.9,19.8%,0.31,4,-,Galio,3,100%,Ivern,2,0%,Ornn,2,50%
6ax S13 Spring,9W - 9L,3.3,8,393,21.9%,67.8%,666.2,30.7%,0.27,6,-,Viktor,5,80%,Syndra,3,0%,Azir,3,66.7%
